r (Angstrom),"g(r),OD1-CL, D","g(r),OD1-OE1, D"
0.1,0.0,0.0
0.30000000000000004,0.0,0.0
0.5000000000000001,0.0,0.0
0.7000000000000001,0.0,0.0
0.9000000000000001,0.0,0.0
1.1000000000000003,0.0,0.0
1.3000000000000003,0.0,0.0
1.5000000000000004,0.0,0.0
1.7000000000000004,0.0,0.0
1.9000000000000004,0.0,0.0
2.1000000000000005,0.0,0.0
2.3000000000000007,0.0,0.0
2.5000000000000004,0.0,0.0
2.7000000000000006,0.0,0.0
2.900000000000001,0.0,0.0014415351270879488
3.1000000000000005,0.0,0.0025236474262735724
3.3000000000000007,0.0,0.02784373720359139
3.500000000000001,0.001023215239659182,0.12277189969151606
3.7000000000000006,0.021060902457447187,0.32074999024570044
3.900000000000001,0.10220148775695281,0.5758232209486334
4.1000000000000005,0.3154593702734736,0.7764591215196087
4.300000000000001,0.6644651760085871,0.8456758205628516
4.500000000000001,0.8147384065909128,0.7248700158871682
4.7,0.7758325539323181,0.6249486817833114
4.9,0.6464387881339818,0.5517541518637047
5.1000000000000005,0.4853893032886294,0.47667742214192566
5.300000000000001,0.3856299495166588,0.5467669473510053
5.500000000000001,0.36390025901641915,0.5887340552874853
5.700000000000001,0.3743151156459949,0.6904234001217989
5.9,0.43184829321289026,0.7454858066506843
6.1000000000000005,0.516538065605198,0.7427369951095053
6.300000000000001,0.5746119568701538,0.7378980753452978
6.500000000000001,0.6270446173175536,0.7399875237643936
6.700000000000001,0.6965823711784209,0.6824122260729011
6.900000000000001,0.7255254389409259,0.6421657928021992
7.100000000000001,0.6981638947195812,0.6421084215590191
7.300000000000001,0.7001942020070823,0.6433857051525997
7.500000000000001,0.6927758314804315,0.6997003567549098
7.700000000000001,0.6671957293056073,0.7329859909057783
7.900000000000001,0.6782406125122196,0.7544544820851113
8.100000000000001,0.6763157731295596,0.7381906635723208
8.3,0.7436696532148439,0.7335164483822755
8.500000000000002,0.7859642915001721,0.7536487343435834
8.700000000000001,0.8337399260094748,0.7679448516985535
8.900000000000002,0.8158402231420789,0.7540578087636929
9.100000000000001,0.8700152276001489,0.764060459272834
9.3,0.87025026223676,0.7712506107437362
9.500000000000002,0.8827590534958365,0.763730815728719
9.700000000000001,0.8771200560754557,0.8081195180293268
9.900000000000002,0.8889881908665529,0.8057575433004405
10.100000000000001,0.8796974673737672,0.8155443317193042
10.300000000000002,0.9116957166292198,0.8333684933986701
10.500000000000002,0.9290432413171381,0.838897604443712
10.700000000000001,0.9115050444712929,0.825743075288037
10.900000000000002,0.9373573828800568,0.853920879884735
11.100000000000001,0.9329879705086078,0.8622361078898575
11.300000000000002,0.9371778976701269,0.856963573118498
11.500000000000002,0.9722734192955733,0.8409968093671694
11.700000000000001,0.9724745070693923,0.8604415949345287
11.900000000000002,0.9645900844678603,0.8843623317574796
12.100000000000001,0.9542899507996535,0.884717167854314
12.300000000000002,0.9682637869766884,0.878709071429565
12.500000000000002,0.9721147842248932,0.9105344631737609
12.700000000000003,0.9788986790881624,0.9034464515968339
12.900000000000002,0.9779422691438436,0.9072133022792145
13.100000000000001,0.9809664504813642,0.9170458975179524
13.300000000000002,0.9780547810820788,0.9221898073235593
13.500000000000002,0.9843105580578946,0.9136523219021206
13.700000000000003,0.9970009398411508,0.9388156236891381
13.900000000000002,0.9674797129788706,0.9278195508721376
14.100000000000003,0.9918802264999617,0.943310520231009
14.300000000000002,1.0041870175052665,0.9455882395368953
14.500000000000002,0.9985052947578645,0.9425835353639249
14.700000000000003,0.9953078822468094,0.9525478237999421
14.900000000000002,0.9841320531917168,0.9538706700764562
15.100000000000003,0.9966190325567368,0.966659410758951
15.300000000000002,0.9940873327042612,0.9612413462855414
15.500000000000002,0.9865004467507321,0.9689206545276129
15.700000000000003,1.0016132690269108,0.9637339698690438
15.900000000000002,0.9910559448123328,0.982787533654045
16.100000000000005,0.9992389563932719,0.9732168642397685
16.300000000000004,1.0004459831324501,0.9908096766183462
16.500000000000004,1.0056330569353067,0.9718459743494956
16.700000000000006,1.0022353334893894,0.9866378900427757
16.900000000000006,1.015402187664062,0.9856001788317553
17.100000000000005,1.0055946969185392,0.9879958967036244
17.300000000000004,1.0100458416965463,0.9864102316392068
17.500000000000004,1.0105519572032,0.9967902525975076
17.700000000000006,0.9994910499022471,0.99185651129558
17.900000000000006,0.9943036977569344,0.9967759521630255
18.100000000000005,1.0072030921316322,1.003018950033523
18.300000000000004,1.0020448384325678,0.9864315330597814
18.500000000000004,1.0101715971656011,0.9882991374254531
18.700000000000006,1.001840190759558,0.9903087968134644
18.900000000000006,1.0130088228351046,0.998135603315266
19.100000000000005,1.007543657215693,1.0043725931476182
19.300000000000004,1.0061254712305552,0.9949035423608785
19.500000000000004,0.9961133036499517,1.0011783177809703
19.700000000000006,1.005648168520311,1.0000887153116564
19.900000000000006,1.0166611468237494,0.9934489121560488
20.100000000000005,0.9987961859726533,0.995100912917944
