r (Angstrom),"g(r),CG-CL, Y","g(r),CG-OE1, Y"
0.1,0.0,0.0
0.30000000000000004,0.0,0.0
0.5000000000000001,0.0,0.0
0.7000000000000001,0.0,0.0
0.9000000000000001,0.0,0.0
1.1000000000000003,0.0,0.0
1.3000000000000003,0.0,0.0
1.5000000000000004,0.0,0.0
1.7000000000000004,0.0,0.0
1.9000000000000004,0.0,0.0
2.1000000000000005,0.0,0.0
2.3000000000000007,0.0,0.0
2.5000000000000004,0.0,0.0
2.7000000000000006,0.0,0.0
2.900000000000001,0.0,0.0
3.1000000000000005,0.0,0.0
3.3000000000000007,0.0,0.004456086717717925
3.500000000000001,0.0,0.0049483349531799555
3.7000000000000006,0.0036633280451333827,0.017716375491304077
3.900000000000001,0.009893100444302944,0.04704431744129889
4.1000000000000005,0.04251951269466205,0.09235586599039206
4.300000000000001,0.0868086275494375,0.1344588504349661
4.500000000000001,0.1777237334807209,0.18448755892856966
4.7,0.27418741463121993,0.25696669992808674
4.9,0.377095447449167,0.26772914538171333
5.1000000000000005,0.43970364410573226,0.31525369662288094
5.300000000000001,0.4732195678538284,0.3652830911100796
5.500000000000001,0.44274973757040215,0.4835773185552269
5.700000000000001,0.464718492082236,0.6817108100798354
5.9,0.5573202318001932,0.7641245584604799
6.1000000000000005,0.8193088019232234,0.6594490410810955
6.300000000000001,0.9681292060217941,0.6041857525492351
6.500000000000001,0.8204237024308924,0.6140767461273859
6.700000000000001,0.7109955394320762,0.6614418012396552
6.900000000000001,0.7238531684715308,0.6713014381895374
7.100000000000001,0.7515668851625661,0.7151202171335941
7.300000000000001,0.8119109401627298,0.7281521656423224
7.500000000000001,0.8768710882355861,0.7745760254927505
7.700000000000001,0.9061596323499922,0.7543104492134647
7.900000000000001,0.9380284923904232,0.7696477146332046
8.100000000000001,0.9735166369784689,0.7874053879800649
8.3,0.9743158791714557,0.7784614946286499
8.500000000000002,0.9441077033456111,0.7902687350854378
8.700000000000001,0.9765912765484663,0.8046350018796696
8.900000000000002,0.9814906029759038,0.8022770259098256
9.100000000000001,0.9724418638848042,0.8223666787198799
9.3,0.9583283978343003,0.82889404761408
9.500000000000002,0.9509211934113737,0.8735092418683799
9.700000000000001,0.9962221336242069,0.873576071172773
9.900000000000002,0.987858423609322,0.8959354571451801
10.100000000000001,0.9727275191915179,0.891263519823395
10.300000000000002,1.0029430905171886,0.9245483096057239
10.500000000000002,1.003888930117622,0.9039537560166035
10.700000000000001,1.0224653854864765,0.9099153540374372
10.900000000000002,1.0243495128216402,0.9238848682894081
11.100000000000001,1.0071061076320023,0.9331337543950219
11.300000000000002,1.000845032424359,0.934882624963651
11.500000000000002,1.0065463538621906,0.9531862400360328
11.700000000000001,0.992956222102783,0.9562291312051358
11.900000000000002,1.0064423277623937,0.9790150194314302
12.100000000000001,0.9880945011299562,0.982633833980019
12.300000000000002,1.0268520584566059,0.9761817334548162
12.500000000000002,1.0211472244515072,0.9853379736876327
12.700000000000003,1.0073542964877047,0.983368101274346
12.900000000000002,1.018792834574302,0.9850157256409471
13.100000000000001,1.0126264556664826,0.9842962223911667
13.300000000000002,1.0048052106085361,0.984624555393841
13.500000000000002,1.0120715438745476,0.9912042796214234
13.700000000000003,0.9946313035185623,1.0038931977163374
13.900000000000002,1.0093829769762739,0.9917994260753518
14.100000000000003,1.0044793142978292,0.9665453209103864
14.300000000000002,1.0006809646269392,0.9935053727675226
14.500000000000002,0.9947426281522632,1.0059854562058888
14.700000000000003,1.0147558497451157,1.0002901454301063
14.900000000000002,0.9926684262056513,1.001157605873781
15.100000000000003,1.0059290338865627,1.0131712788889404
15.300000000000002,1.0154844787041177,1.0045028203180069
15.500000000000002,1.0041703879628507,1.0017452808511647
15.700000000000003,0.9928954030886543,1.0193571076577568
15.900000000000002,1.003790370923768,0.9954147530733093
16.100000000000005,1.0106039396109903,1.0071912784979207
16.300000000000004,0.9983723784161592,1.0101208723852229
16.500000000000004,1.0066066243933427,1.0101833004232263
16.700000000000006,1.0093518648865776,1.0102812552807985
16.900000000000006,0.9992631167534478,1.01349280948078
17.100000000000005,0.9911632024345387,1.0060001560156064
17.300000000000004,1.0079384483150702,1.016121528886227
17.500000000000004,1.0050986621337807,1.0062627992087685
17.700000000000006,1.0150987309025532,1.0117193499576054
17.900000000000006,0.9925036756267144,1.005225849390699
18.100000000000005,0.9981391686854866,1.0146648739825381
18.300000000000004,1.0099979530294056,1.0165085850673472
18.500000000000004,1.003339698721892,1.0092981699909853
18.700000000000006,1.0147011189850594,1.0107498627102898
18.900000000000006,1.0049966999442275,1.0127277498404021
19.100000000000005,1.001181644009988,1.0076708029730235
19.300000000000004,1.0108431571155938,1.0143397454125447
19.500000000000004,1.0034405407191311,1.0076112037242082
19.700000000000006,1.007371829597735,1.0148294890144567
19.900000000000006,1.0093325056728508,1.0139538819825034
20.100000000000005,1.0021372085993667,1.0123417553947156
